video_id,title_current,upload_date,duration,view_count,like_count,comment_count,has_captions,description_length,thumbnail_url,upload_year,duration_seconds,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
UJKcztNId3Q,33. godišnjica koju Hercegovina ne zaboravlja #herzegbosna #shorts,2025-06-06,PT26S,8244,114,13,False,734,https://i.ytimg.com/vi/UJKcztNId3Q/maxresdefault.jpg,2025,26,65,C,,,,,raw,
rhvX1FWmqEY,13. Svibnja 1990. - Dan koji je promijenio sve 💙🇭🇷 #dinamo #povijest,2025-05-13,PT44S,12642,183,3,False,1299,https://i.ytimg.com/vi/rhvX1FWmqEY/maxresdefault.jpg,2025,44,57.04,C,,,,,raw,
Uwewyw2emqg,Braća Kumerle – Ako ne znaš šta je bilo LIVE Imotski 2025 | Matica Hrvatska | Domoljubna rock pjesma,2025-05-11,PT4M44S,1878,77,15,False,1348,https://i.ytimg.com/vi/Uwewyw2emqg/maxresdefault.jpg,2025,284,65,C,,,,,raw,
TlyDYvqyjzc,"Braća Kumerle – Znakovlje Hrvata (LIVE, Matica Hrvatska Imotski 2025)",2025-05-11,PT2M4S,897,41,11,False,1600,https://i.ytimg.com/vi/TlyDYvqyjzc/maxresdefault.jpg,2025,124,65,C,,,,,raw,
CkHiMqkQdSk,"Braća Kumerle – Frane Tente 🇭🇷 LIVE @ Matica Hrvatska, Imotski, 6.5.2025.",2025-05-11,PT3M58S,1260,46,10,False,1311,https://i.ytimg.com/vi/CkHiMqkQdSk/maxresdefault.jpg,2025,238,65,C,,,,,raw,
mPqDy4PRfQU,"Braća Kumerle – Lijepa naša domovino 🇭🇷 (Matica Hrvatska, Imotski, 6.5.2025.)",2025-05-11,PT2M20S,369,17,4,False,1467,https://i.ytimg.com/vi/mPqDy4PRfQU/maxresdefault.jpg,2025,140,58.98,C,,,,,raw,
7CM1SPPPpH8,"Imotski Sokolovi ZA SVE ONE KOJIH NEMA, Vazda s nama #hrvatska🇭🇷 #imotski #fyp #sokolovi",2025-05-06,PT24S,5802,96,15,False,729,https://i.ytimg.com/vi/7CM1SPPPpH8/maxresdefault.jpg,2025,24,65,C,,,,,raw,
KKBGFRHw418,"Braća Kumerle – Ako ne znaš šta je bilo 🇭🇷 | Domoljubna pjesma uživo (Split, 2025)",2025-05-05,PT4M47S,515,25,6,False,1762,https://i.ytimg.com/vi/KKBGFRHw418/sddefault.jpg,2025,287,61.9,C,,,,,raw,
JxlaB1BZ6O0,"🇭🇷 Braća Kumerle – Znakovlje Hrvata (uživo, Matica Hrvatska Split 2025) | Domoljubna pjesma",2025-05-05,PT1M51S,255,19,11,False,1678,https://i.ytimg.com/vi/JxlaB1BZ6O0/sddefault.jpg,2025,111,65,C,,,,,raw,
JL4bPYCSyGM,"Braća Kumerle – Frane Tente | Hrvatska pamti te 🇭🇷 (LIVE @ Matica Hrvatska, Split 2025)",2025-05-05,PT4M34S,332,22,10,False,2160,https://i.ytimg.com/vi/JL4bPYCSyGM/sddefault.jpg,2025,274,65,C,,,,,raw,
